Summon_Grp_Index,Summon_Grp_ID,Summon_Grp_Character_ID,Summon_Grp_Per,Item_Parts_ID,Parts_Value
0,1,10001,2.857142857,60001,10
1,1,10002,2.857142857,60002,10
2,1,10003,2.857142857,60003,10
3,1,10004,2.857142857,60004,10
4,1,10005,2.857142857,60005,10
5,1,10006,2.857142857,60006,10
6,1,10007,2.857142857,60007,10
7,1,10008,2.857142857,60008,10
8,1,10009,2.857142857,60009,10
9,1,10010,2.857142857,60010,10
10,1,10011,2.857142857,60011,10
11,1,10012,2.857142857,60012,10
12,1,10013,2.857142857,60013,10
13,1,10014,2.857142857,60014,10
14,1,10015,2.857142857,60015,10
15,1,10016,2.857142857,60016,10
16,1,10017,2.857142857,60017,10
17,1,10018,2.857142857,60018,10
18,1,10019,2.857142857,60019,10
19,1,10020,2.857142857,60020,10
20,1,10021,2.857142857,60021,10
21,1,10022,2.857142857,60022,10
22,1,10023,2.857142857,60023,10
23,1,10024,2.857142857,60024,10
24,1,10025,2.857142857,60025,10
25,1,10026,2.857142857,60026,10
26,1,10027,2.857142857,60027,10
27,1,10028,2.857142857,60028,10
28,1,10029,2.857142857,60029,10
29,1,10030,2.857142857,60030,10
30,1,10031,2.857142857,60031,10
31,1,10032,2.857142857,60032,10
32,1,10033,2.857142857,60033,10
33,1,10034,2.857142857,60034,10
34,1,10035,2.857142857,60035,10
35,2,10001,5,60001,10
36,2,10002,5,60002,10
37,2,10003,5,60003,10
38,2,10004,5,60004,10
39,2,10005,2.580645161,60005,10
40,2,10006,2.580645161,60006,10
41,2,10007,2.580645161,60007,10
42,2,10008,2.580645161,60008,10
43,2,10009,2.580645161,60009,10
44,2,10010,2.580645161,60010,10
45,2,10011,2.580645161,60011,10
46,2,10012,2.580645161,60012,10
47,2,10013,2.580645161,60013,10
48,2,10014,2.580645161,60014,10
49,2,10015,2.580645161,60015,10
50,2,10016,2.580645161,60016,10
51,2,10017,2.580645161,60017,10
52,2,10018,2.580645161,60018,10
53,2,10019,2.580645161,60019,10
54,2,10020,2.580645161,60020,10
55,2,10021,2.580645161,60021,10
56,2,10022,2.580645161,60022,10
57,2,10023,2.580645161,60023,10
58,2,10024,2.580645161,60024,10
59,2,10025,2.580645161,60025,10
60,2,10026,2.580645161,60026,10
61,2,10027,2.580645161,60027,10
62,2,10028,2.580645161,60028,10
63,2,10029,2.580645161,60029,10
64,2,10030,2.580645161,60030,10
65,2,10031,2.580645161,60031,10
66,2,10032,2.580645161,60032,10
67,2,10033,2.580645161,60033,10
68,2,10034,2.580645161,60034,10
69,2,10035,2.580645161,60035,10
